Operating Revenue (In Thousands of Dollars $000) (Delta Air Lines - All regions),,,,,,,
Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2000,1,"3,012,104","110,571","405,333","67,602",,"3,595,610"
2000,2,"3,239,904","115,025","554,970","63,557",,"3,973,456"
2000,3,"3,142,200","123,138","679,420","93,473",,"4,038,231"
2000,4,"3,012,894","132,088","492,586","75,985",,"3,713,553"
2000,TOTAL,"12,407,102","480,822","2,132,309","300,617",0,"15,320,850"
2001,1,"2,901,370","161,771","444,964","61,027",,"3,569,132"
2001,2,"2,912,488","152,014","582,448","64,029",,"3,710,979"
2001,3,"2,466,639","142,106","578,048","70,893",,"3,257,686"
2001,4,"2,152,858","121,790","364,652","34,091",,"2,673,391"
2001,TOTAL,"10,433,355","577,681","1,970,112","230,040",0,"13,211,188"
2002,1,"2,363,699","146,914","387,289","25,345",,"2,923,247"
2002,2,"2,518,262","142,157","531,434","33,385",,"3,225,238"
2002,3,"2,413,272","147,731","588,917","39,737",,"3,189,657"
2002,4,"2,440,755","133,083","460,302","38,113",,"3,072,253"
2002,TOTAL,"9,735,988","569,885","1,967,942","136,580",0,"12,410,395"
2003,1,"2,798,109","148,124","374,880","28,296",,"3,349,409"
2003,2,"2,907,618","142,214","448,453","22,939",,"3,521,224"
2003,3,"2,938,370","150,292","564,462","32,123",,"3,685,247"
2003,4,"2,976,831","148,849","489,455","32,014",,"3,647,149"
2003,TOTAL,"11,620,928","589,479","1,877,250","115,372",0,"14,203,029"
2004,1,"2,940,540","161,372","431,222","35,437",,"3,568,571"
2004,2,"3,165,536","161,948","630,159","39,516",,"3,997,159"
2004,3,"3,061,748","161,930","648,252","41,791",,"3,913,721"
2004,4,"2,962,475","165,602","510,758","36,194",,"3,675,029"
2004,TOTAL,"12,130,299","650,852","2,220,391","152,938",0,"15,154,480"
2005,1,"2,957,224","202,849","477,837","38,399",,"3,676,309"
2005,2,"3,312,988","197,894","666,447","42,160",,"4,219,489"
2005,3,"3,265,788","201,518","740,601","43,157",,"4,251,064"
2005,4,"3,136,723","222,026","564,995","41,107",,"3,964,851"
2005,TOTAL,"12,672,723","824,287","2,449,880","164,823",0,"16,111,713"
2006,1,"2,990,524","248,136","472,573","38,135",,"3,749,368"
2006,2,"3,542,805","256,474","835,900","44,644",,"4,679,823"
2006,3,"3,419,618","280,921","966,848","48,160",,"4,715,547"
2006,4,"3,162,509","287,761","699,279","44,849",,"4,194,398"
2006,TOTAL,"13,115,456","1,073,292","2,974,600","175,788",0,"17,339,136"
2007,1,"3,148,995","355,746","640,284","44,167",,"4,189,192"
2007,2,"3,600,449","344,890","1,052,173","53,772",,"5,051,284"
2007,3,"3,613,774","370,438","1,216,588","73,910",,"5,274,710"
2007,4,"3,356,053","339,396","960,893","67,272",,"4,723,614"
2007,TOTAL,"13,719,271","1,410,470","3,869,938","239,121",0,"19,238,800"
2008,1,"3,415,460","434,883","893,436","67,199",,"4,810,978"
2008,2,"3,662,838","411,187","1,364,346","113,406",,"5,551,777"
2008,3,"3,552,520","438,851","1,642,515","127,704",,"5,761,590"
2008,4,"3,245,613","356,077","1,141,329","105,226",,"4,848,245"
2008,TOTAL,"13,876,431","1,640,998","5,041,626","413,535",0,"20,972,590"
2009,1,"2,975,113","388,115","782,510","86,354",,"4,232,092"
2009,2,"3,081,085","337,731","1,054,324","87,176",,"4,560,316"
2009,3,"3,059,195","357,483","1,246,092","132,896",,"4,795,666"
2009,4,"2,956,775","351,133","971,555","179,043",,"4,458,506"
2009,TOTAL,"12,072,168","1,434,462","4,054,481","485,469",0,"18,046,580"
2010,1,"4,642,172","472,881","1,067,547","696,607",,"6,879,207"
2010,2,"5,411,121","405,033","1,604,863","784,176",,"8,205,193"
2010,3,"5,510,909","433,663","1,996,489","1,046,278",,"8,987,339"
2010,4,"5,014,722","433,244","1,487,718","886,279",,"7,821,963"
2010,TOTAL,"20,578,924","1,744,821","6,156,617","3,413,340",0,"31,893,702"
2011,1,"5,124,733","519,692","1,229,283","925,276",,"7,798,984"
2011,2,"5,960,970","473,055","1,848,142","891,849",,"9,174,016"
2011,3,"6,003,561","494,470","2,108,066","1,283,451",,"9,889,548"
2011,4,"5,554,952","448,591","1,455,987","993,639",,"8,453,169"
2011,TOTAL,"22,644,216","1,935,808","6,641,478","4,094,215",0,"35,315,717"
2012,1,"5,595,586","563,962","1,275,039","1,058,699",,"8,493,286"
2012,2,"6,372,974","514,243","1,869,792","1,035,994",,"9,793,003"
2012,3,"6,116,001","513,504","2,042,751","1,307,645",,"9,979,901"
2012,4,"5,760,749","481,612","1,418,091","990,325",,"8,650,777"
2012,TOTAL,"23,845,310","2,073,321","6,605,673","4,392,663",0,"36,916,967"
2013,1,"5,669,954","588,150","1,237,810","1,013,242",,"8,509,156"
2013,2,"6,351,146","529,422","1,837,812","997,604",,"9,715,984"
2013,3,"6,566,795","587,091","2,133,514","1,219,564",,"10,506,964"
2013,4,"6,132,965","560,102","1,429,835","963,188",,"9,086,090"
2013,TOTAL,"24,720,860","2,264,765","6,638,971","4,193,598",0,"37,818,194"
2014,1,"6,027,647","707,581","1,213,485","978,811",,"8,927,524"
2014,2,"7,052,763","652,386","1,965,477","969,248",,"10,639,874"
2014,3,"7,071,849","656,397","2,274,381","1,197,482",,"11,200,109"
2014,4,"6,620,861","620,970","1,499,216","917,900",,"9,658,947"
2014,TOTAL,"26,773,120","2,637,334","6,952,559","4,063,441",0,"40,426,454"
2015,1,"6,468,745","778,806","1,254,534","905,525",,"9,407,610"
2015,2,"7,314,080","658,337","1,877,474","878,265",,"10,728,156"
2015,3,"7,267,623","641,667","2,165,704","1,055,426",,"11,130,420"
2015,4,"6,744,609","580,211","1,436,318","788,443",,"9,549,581"
2015,TOTAL,"27,795,057","2,659,021","6,734,030","3,627,659",0,"40,815,767"
2016,1,"6,720,368","735,480","1,103,841","735,975",,"9,295,664"
2016,2,"7,385,194","632,104","1,717,620","767,984",,"10,502,902"
2016,3,"7,137,041","631,237","1,896,689","874,977",,"10,539,944"
2016,4,"6,963,690","609,625","1,275,429","662,359",,"9,511,103"
2016,TOTAL,"28,206,293","2,608,446","5,993,579","3,041,295",0,"39,849,613"
2017,1,"6,701,934","784,483","1,056,823","652,839",,"9,196,079"
2017,2,"7,722,294","708,551","1,743,949","679,918",,"10,854,712"
2017,3,"7,655,984","681,374","1,990,568","797,445",,"11,125,371"
2017,4,"7,612,604","641,190","1,371,134","674,770",,"10,299,698"
2017,TOTAL,"29,692,816","2,815,598","6,162,474","2,804,972",0,"41,475,860"
2018,1,"7,162,960","898,214","1,257,248","689,520",,"10,007,942"
2018,2,"8,342,159","755,635","1,975,834","735,698",,"11,809,326"
2018,3,"8,240,538","704,462","2,208,509","834,972",,"11,988,481"
2018,4,"7,865,436","684,829","1,488,339","693,644",,"10,732,248"
2018,TOTAL,"31,611,093","3,043,140","6,929,930","2,953,834",0,"44,537,997"
2019,1,"7,691,968","879,031","1,248,404","672,054",,"10,491,457"
2019,2,"8,986,257","773,065","2,077,004","745,153",,"12,581,479"
2019,3,"8,835,530","699,181","2,263,014","792,686",,"12,590,411"
2019,4,"8,529,069","722,067","1,523,468","688,384",,"11,462,988"
2019,TOTAL,"34,042,824","3,073,344","7,111,890","2,898,277",0,"47,126,335"
2020,1,"6,383,908","799,077","967,216","456,540",,"8,606,741"
2020,2,"1,207,881","38,104","168,163","57,975",,"1,472,123"
2020,3,"2,599,495","116,954","242,964","105,295",,"3,064,708"
2020,4,"3,273,305","274,203","284,166","142,261",,"3,973,935"
2020,TOTAL,"13,464,589","1,228,338","1,662,509","762,071",0,"17,117,507"
2021,1,"3,448,374","311,230","262,694","130,362",,"4,152,660"
2021,2,"5,994,807","519,054","446,262","168,173",,"7,128,296"
2021,3,"7,412,240","590,660","935,453","226,996",,"9,165,349"
2021,4,"7,787,147","669,584","826,710","201,409",,"9,484,850"
2021,TOTAL,"24,642,568","2,090,528","2,471,119","726,940",0,"29,931,155"
2022,1,"7,684,218","737,397","739,473","204,370",,"9,365,458"
2022,2,"10,801,183","788,642","2,002,688","257,043",,"13,849,556"
2022,3,"10,214,777","718,111","2,653,821","407,135",,"13,993,844"
2022,4,"10,277,706","874,772","1,837,759","470,684",,"13,460,921"
2022,TOTAL,"38,977,884","3,118,922","7,233,741","1,339,232",0,"50,669,779"
2023,1,"9,553,721","1,208,422","1,489,919","536,843",,"12,788,905"
2023,2,"10,888,168","974,257","3,148,176","626,989",,"15,637,590"
2023,3,"10,578,432","843,900","3,468,590","655,689",,"15,546,611"
2023,4,"10,407,790","1,011,224","2,176,767","661,352",,"14,257,133"
2023,TOTAL,"41,428,111","4,037,803","10,283,452","2,480,873",0,"58,230,239"
2024,1,"10,223,923","1,323,892","1,541,430","690,500",,"13,779,745"
2024,2,"11,686,101","1,028,276","3,209,542","773,389",,"16,697,308"
2024,3,"10,689,626","829,902","3,444,040","761,376",,"15,724,944"
2024,4,"11,393,244","1,070,175","2,321,685","803,397",,"15,588,501"
2024,TOTAL,"43,992,894","4,252,245","10,516,697","3,028,662",0,"61,790,498"
2025,1,"10,210,867","1,424,966","1,638,088","809,214",,"14,083,135"
2025,2,"11,546,057","1,015,897","3,291,660","855,315",,"16,708,929"
2025,3,"11,653,572","834,040","3,437,573","799,802",,"16,724,987"
2025,TOTAL,"33,410,496","3,274,903","8,367,321","2,464,331",0,"47,517,051"
,,,,,,,
Note: All numbers are for scheduled services.,,,,,,,
