Operating Revenue (In Thousands of Dollars $000) (United Air Lines - All regions),,,,,,,
Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2000,1,"3,190,340","207,593","445,819","689,224",,"4,532,976"
2000,2,"3,536,117","196,557","596,706","768,559",,"5,097,939"
2000,3,"3,195,234","199,689","646,769","874,093",,"4,915,785"
2000,4,"3,172,126","212,523","570,327","829,604",,"4,784,580"
2000,TOTAL,"13,093,817","816,362","2,259,621","3,161,480",0,"19,331,280"
2001,1,"2,952,395","207,456","513,293","744,518",,"4,417,662"
2001,2,"3,082,781","190,485","627,383","747,590",,"4,648,239"
2001,3,"2,636,459","166,924","593,711","699,884",,"4,096,978"
2001,4,"1,992,806","114,157","346,995","470,532",,"2,924,490"
2001,TOTAL,"10,664,441","679,022","2,081,382","2,662,524",0,"16,087,369"
2002,1,"2,130,745","134,435","382,656","547,755",,"3,195,591"
2002,2,"2,418,529","121,747","518,449","647,350",,"3,706,075"
2002,3,"2,342,270","109,238","535,928","657,205",,"3,644,641"
2002,4,"2,169,817","123,685","445,578","630,214",,"3,369,294"
2002,TOTAL,"9,061,361","489,105","1,882,611","2,482,524",0,"13,915,601"
2003,1,"2,004,991","113,825","411,191","577,205",,"3,107,212"
2003,2,"2,114,468","98,117","445,616","376,558",,"3,034,759"
2003,3,"2,593,694","109,014","494,228","560,417",,"3,757,353"
2003,4,"2,369,023","111,374","410,260","607,748",,"3,498,405"
2003,TOTAL,"9,082,176","432,330","1,761,295","2,121,928",0,"13,397,729"
2004,1,"2,422,382","119,130","460,766","623,712",,"3,625,990"
2004,2,"2,697,409","99,966","506,214","658,895",,"3,962,484"
2004,3,"2,824,078","95,514","558,099","747,626",,"4,225,317"
2004,4,"2,542,192","104,602","502,647","737,937",,"3,887,378"
2004,TOTAL,"10,486,061","419,212","2,027,726","2,768,170",0,"15,701,169"
2005,1,"2,540,765","135,121","492,847","747,717",,"3,916,450"
2005,2,"2,874,127","121,573","564,970","813,288",,"4,373,958"
2005,3,"3,064,774","112,693","600,409","870,104",,"4,647,980"
2005,4,"2,885,356","124,354","519,822","836,234",,"4,365,766"
2005,TOTAL,"11,365,022","493,741","2,178,048","3,267,343",0,"17,304,154"
2006,1,"3,005,815","161,866","481,653","810,344",,"4,459,678"
2006,2,"3,470,827","141,805","608,080","890,321",,"5,111,033"
2006,3,"3,432,625","140,252","660,849","942,147",,"5,175,873"
2006,4,"3,007,401","141,051","572,893","865,930",,"4,587,275"
2006,TOTAL,"12,916,668","584,974","2,323,475","3,508,742",0,"19,333,859"
2007,1,"2,856,330","155,255","547,762","814,807",,"4,374,154"
2007,2,"3,375,193","134,098","740,092","947,028",,"5,196,411"
2007,3,"3,547,933","133,920","770,737","1,052,180",,"5,504,770"
2007,4,"3,133,589","153,837","701,475","984,858",,"4,973,759"
2007,TOTAL,"12,913,045","577,110","2,760,066","3,798,873",0,"20,049,094"
2008,1,"2,964,873","177,130","658,961","910,244",,"4,711,208"
2008,2,"3,413,359","146,819","833,252","977,096",,"5,370,526"
2008,3,"3,574,260","146,260","875,293","1,011,025",,"5,606,838"
2008,4,"2,928,478","137,263","677,982","804,953",,"4,548,676"
2008,TOTAL,"12,880,970","607,472","3,045,488","3,703,318",0,"20,237,248"
2009,1,"2,436,919","119,249","511,807","625,599",,"3,693,574"
2009,2,"2,691,821","83,584","641,100","603,547",,"4,020,052"
2009,3,"2,947,430","85,677","707,453","694,604",,"4,435,164"
2009,4,"2,711,957","108,130","684,983","705,378",,"4,210,448"
2009,TOTAL,"10,788,127","396,640","2,545,343","2,629,128",0,"16,359,238"
2010,1,"2,736,886","132,529","629,651","743,940",,"4,243,006"
2010,2,"3,262,597","134,108","841,913","924,184",,"5,162,802"
2010,3,"3,343,912","131,639","928,149","992,278",,"5,395,978"
2010,4,"3,011,034","157,066","797,288","915,146",,"4,880,534"
2010,TOTAL,"12,354,429","555,342","3,197,001","3,575,548",0,"19,682,320"
2011,1,"2,944,715","189,952","691,789","849,163",,"4,675,619"
2011,2,"3,438,023","202,031","959,373","971,112",,"5,570,539"
2011,3,"3,578,115","191,266","1,019,758","1,067,127",,"5,856,265"
2011,4,"3,087,370","195,663","812,262","957,500",,"5,052,795"
2011,TOTAL,"13,048,222","778,912","3,483,182","3,844,902",0,"21,155,218"
2012,1,"4,950,545","888,464","1,454,657","1,310,313",,"8,603,978"
2012,2,"5,742,548","813,486","1,885,971","1,498,567",,"9,940,572"
2012,3,"5,567,124","781,871","1,886,749","1,676,435",,"9,912,178"
2012,4,"5,062,162","749,117","1,490,734","1,401,427",,"8,703,439"
2012,TOTAL,"21,322,378","3,232,938","6,718,110","5,886,741",0,"37,160,167"
2013,1,"5,022,297","878,450","1,443,992","1,378,371",,"8,723,110"
2013,2,"5,764,923","788,269","1,983,615","1,466,217",,"10,003,024"
2013,3,"5,792,667","803,351","2,087,837","1,546,038",,"10,229,894"
2013,4,"5,520,085","790,612","1,616,865","1,403,544",,"9,331,106"
2013,TOTAL,"22,099,972","3,260,683","7,132,308","5,794,170",0,"38,287,134"
2014,1,"5,005,587","871,084","1,468,691","1,350,922",,"8,696,283"
2014,2,"5,916,608","915,484","2,037,683","1,458,481",,"10,328,256"
2014,3,"5,967,101","847,068","2,169,269","1,580,232",,"10,563,671"
2014,4,"5,430,697","859,196","1,644,777","1,377,640",,"9,312,309"
2014,TOTAL,"22,319,992","3,492,832","7,320,420","5,767,274",0,"38,900,519"
2015,1,"4,912,020","928,479","1,440,799","1,327,180",,"8,608,479"
2015,2,"5,758,574","857,055","1,912,177","1,385,654",,"9,913,459"
2015,3,"5,894,146","810,101","2,113,487","1,488,171",,"10,305,905"
2015,4,"5,366,453","771,463","1,601,172","1,297,202",,"9,036,289"
2015,TOTAL,"21,931,192","3,367,098","7,067,635","5,498,207",0,"37,864,132"
2016,1,"4,965,592","890,934","1,207,792","1,130,973",,"8,195,291"
2016,2,"5,719,040","759,748","1,702,637","1,214,241",,"9,395,665"
2016,3,"5,918,710","797,785","1,825,320","1,371,369",,"9,913,185"
2016,4,"5,598,330","789,290","1,421,746","1,242,375",,"9,051,740"
2016,TOTAL,"22,201,672","3,237,757","6,157,494","4,958,958",0,"36,555,880"
2017,1,"5,122,734","903,193","1,209,269","1,184,919",,"8,420,115"
2017,2,"6,171,263","878,949","1,723,988","1,225,524",,"9,999,723"
2017,3,"5,933,961","836,067","1,833,989","1,273,949",,"9,877,966"
2017,4,"5,904,295","803,364","1,518,359","1,212,488",,"9,438,506"
2017,TOTAL,"23,132,253","3,421,574","6,285,604","4,896,880",0,"37,736,311"
2018,1,"5,475,424","936,244","1,389,046","1,231,222",,"9,031,936"
2018,2,"6,689,312","837,857","1,965,102","1,284,330",,"10,776,602"
2018,3,"6,762,279","829,075","2,072,669","1,339,023",,"11,003,046"
2018,4,"6,625,459","856,452","1,676,407","1,333,330",,"10,491,647"
2018,TOTAL,"25,552,474","3,459,628","7,103,224","5,187,905",0,"41,303,230"
2019,1,"5,875,104","975,258","1,458,342","1,280,582",,"9,589,287"
2019,2,"7,087,134","942,513","2,065,217","1,306,504",,"11,401,369"
2019,3,"7,094,072","903,451","2,103,547","1,279,413",,"11,380,482"
2019,4,"6,903,995","958,188","1,759,716","1,265,504",,"10,887,402"
2019,TOTAL,"26,960,305","3,779,411","7,386,822","5,132,003",0,"43,258,541"
2020,1,"5,077,445","879,873","1,214,967","806,283",,"7,978,567"
2020,2,"925,843","73,126","219,282","257,225",,"1,475,477"
2020,3,"1,671,673","169,373","365,051","282,726",,"2,488,824"
2020,4,"2,235,986","389,725","426,542","360,325",,"3,412,579"
2020,TOTAL,"9,910,947","1,512,098","2,225,843","1,706,559",0,"15,355,447"
2021,1,"2,111,344","391,538","409,904","307,816",,"3,220,602"
2021,2,"3,766,732","727,570","585,570","391,806",,"5,471,679"
2021,3,"5,411,710","848,822","1,115,721","373,709",,"7,749,962"
2021,4,"5,554,671","900,398","1,302,917","433,610",,"8,191,597"
2021,TOTAL,"16,844,458","2,868,328","3,414,113","1,506,941",0,"24,633,840"
2022,1,"5,167,831","827,690","1,088,929","481,908",,"7,566,359"
2022,2,"7,920,200","1,093,445","2,480,648","617,495",,"12,111,788"
2022,3,"7,797,769","1,081,593","3,186,680","810,626",,"12,876,668"
2022,4,"7,930,587","1,136,732","2,315,913","1,017,119",,"12,400,352"
2022,TOTAL,"28,816,387","4,139,460","9,072,172","2,927,148",0,"44,955,167"
2023,1,"7,268,676","1,214,275","1,832,488","1,113,589",,"11,429,027"
2023,2,"8,516,938","1,173,350","3,228,754","1,259,026",,"14,178,067"
2023,3,"8,458,214","1,104,953","3,542,581","1,378,130",,"14,483,878"
2023,4,"8,533,411","1,198,206","2,378,011","1,516,253",,"13,625,881"
2023,TOTAL,"32,777,238","4,690,784","10,981,834","5,266,998",0,"53,716,854"
2024,1,"7,793,608","1,323,731","1,833,199","1,588,464",,"12,539,001"
2024,2,"8,863,983","1,243,528","3,277,337","1,601,255",,"14,986,103"
2024,3,"8,727,727","1,152,465","3,431,815","1,531,051",,"14,843,058"
2024,4,"9,086,366","1,312,668","2,554,884","1,741,265",,"14,695,182"
2024,TOTAL,"34,471,684","5,032,391","11,097,235","6,462,034",0,"57,063,344"
2025,1,"8,156,755","1,434,608","1,899,336","1,721,912",,"13,212,611"
2025,2,"8,891,106","1,255,365","3,369,523","1,719,634",,"15,235,628"
2025,3,"9,081,803","1,089,748","3,485,605","1,567,733",,"15,224,889"
2025,TOTAL,"26,129,664","3,779,721","8,754,464","5,009,279",0,"43,673,128"
,,,,,,,
Note: All numbers are for scheduled services.,,,,,,,
