Airline_Name,Avg_Net_Income_K,Avg_Op_Income_K,Bailout_Gap_K
American Airlines,-1489051.4,-3259713.192,1770661.792
United Airlines,-1430786.4,-2691985.6920000003,1261199.2920000004
Southwest Airlines,-503330.6,-1438369.2,935038.6
Alaska Airlines,-210141.4,-590436.4,380295.0
JetBlue Airlines,-253900.8,-535773.836,281873.036
Hawaiian Airlines,-78858.4,-192273.756,113415.356
Frontier Airlines,-46674.4,-143303.24,96628.84
Spirit Airlines,-160211.4,-211539.51599999997,51328.11599999998
Allegiant Airlines,-16954.4,-63605.84199999999,46651.44199999999
Delta Airlines,-2481306.4,-2115246.6,-366059.7999999998
